n_ap,ratio,C,n_pre_ap
33.0,0.1768987603034149,0.3,47
32.0,0.1812053411349951,0.3,43
30.0,0.18936449327854643,0.3,40
29.0,0.19571794059573358,0.3,38
28.0,0.20170670144288613,0.3,36
27.0,0.2029231088875214,0.3,34
26.0,0.21280001756994954,0.3,32
25.0,0.21730943144642303,0.3,30
24.0,0.2235921655367613,0.3,29
24.0,0.22491916647075702,0.3,28
24.0,0.2267018327403259,0.3,27
23.0,0.23069134120546023,0.3,25
22.0,0.23899540602315347,0.3,24
22.0,0.2456824259246216,0.3,24
22.0,0.24740602640496498,0.3,23
21.0,0.2547398635566502,0.3,22
21.0,0.2572809213304564,0.3,20
20.0,0.2704637284606088,0.3,20
20.0,0.26672423569701864,0.3,19
19.0,0.27981642558148784,0.3,19
20.0,0.26548669465829383,0.3,18
19.0,0.2809153342000108,0.3,18
19.0,0.27802858055833196,0.3,17
19.0,0.28475779841129195,0.3,17
18.0,0.2964501356962615,0.3,16
19.0,0.2868078395450514,0.3,16
18.0,0.29688475614761584,0.3,15
18.0,0.3001937679492639,0.3,15
17.0,0.31178663888057084,0.3,15
17.0,0.3112789045142268,0.3,14
17.0,0.31492670939902306,0.3,14
17.0,0.3152396877641215,0.3,14
16.0,0.32876970855761223,0.3,14
16.0,0.32685455560425236,0.3,13
16.0,0.3303707273109906,0.3,13
15.0,0.3479310065325344,0.3,13
15.0,0.345433087718321,0.3,12
15.0,0.34704065306429555,0.3,12
15.0,0.3504902780891429,0.3,12
15.0,0.3539143703105878,0.3,12
14.0,0.3690688801556149,0.3,12
14.0,0.3653588566270595,0.3,11
14.0,0.3634192261438311,0.3,11
14.0,0.36815470403373374,0.3,11
14.0,0.37195988724773277,0.3,11
14.0,0.37419648792910754,0.3,11
13.0,0.3852007636647332,0.3,10
13.0,0.3868218205182801,0.3,10
13.0,0.3893904670391874,0.3,10
13.0,0.39070759703525754,0.3,10
13.0,0.39150355537320386,0.3,10
13.0,0.39455923164407536,0.3,10
12.0,0.4147436157970711,0.3,10
11.0,0.43186272846235785,0.3,9
11.0,0.4337835001106266,0.3,9
11.0,0.43634999571607896,0.3,9
11.0,0.43774359020678527,0.3,9
11.0,0.43758750911724514,0.3,9
11.0,0.43641985726681204,0.3,9
11.0,0.4408062663409718,0.3,9
11.0,0.44383552048346614,0.3,9
10.0,0.46493734683085935,0.3,8
9.0,0.4965773185152707,0.3,8
9.0,0.49880903993874226,0.3,8
9.0,0.5012178276427065,0.3,8
9.0,0.5050275914657398,0.3,8
10.0,0.4774256236377133,0.3,8
10.0,0.476811365731968,0.3,8
10.0,0.47799367786559976,0.3,8
10.0,0.47642694221022314,0.3,8
10.0,0.4761455123145497,0.3,8
10.0,0.48026127335593766,0.3,8
9.0,0.5061376138609263,0.3,7
9.0,0.5060912008003903,0.3,7
9.0,0.5060259914136988,0.3,7
9.0,0.5094051229834309,0.3,7
9.0,0.5105717798827315,0.3,7
9.0,0.5128008685822059,0.3,7
9.0,0.5138488062468011,0.3,7
9.0,0.5159860945092772,0.3,7
9.0,0.5186912685148578,0.3,7
9.0,0.5207207748562482,0.3,7
9.0,0.5233685675381493,0.3,7
9.0,0.5271657737241168,0.3,7
9.0,0.5254784043714965,0.3,7
8.0,0.5667435630184195,0.3,7
6.0,0.6666491384406861,0.3,6
6.0,0.6630371939618733,0.3,6
6.0,0.6642299035731661,0.3,6
6.0,0.6672541201330793,0.3,6
6.0,0.6704340409018603,0.3,6
6.0,0.6730838101923101,0.3,6
6.0,0.6754036209468532,0.3,6
6.0,0.6752062747661116,0.3,6
6.0,0.6786216462036578,0.3,6
6.0,0.6810438364972103,0.3,6
6.0,0.6822232881993165,0.3,6
6.0,0.6827663695397762,0.3,6
6.0,0.6834975520175246,0.3,6
6.0,0.6850378500463985,0.3,6
6.0,0.6870040340473008,0.3,6
6.0,0.6900188254740909,0.3,6
6.0,0.693534493605294,0.3,6
6.0,0.6958697464488289,0.3,6
6.0,0.6973593410465061,0.3,6
6.0,0.6986245824927824,0.3,6
5.0,0.778580839038596,0.3,5
5.0,0.7782489345571162,0.3,5
5.0,0.7794634070839895,0.3,5
5.0,0.7816044790497029,0.3,5
6.0,0.7005220706342766,0.3,5
6.0,0.7019041660464119,0.3,5
6.0,0.6973190087578889,0.3,5
6.0,0.6998299462699428,0.3,5
6.0,0.7013046677968522,0.3,5
6.0,0.7057520335838106,0.3,5
6.0,0.7029782613663226,0.3,5
6.0,0.7043619153040614,0.3,5
6.0,0.7071997561172186,0.3,5
6.0,0.7079938585964172,0.3,5
6.0,0.7073034640880508,0.3,5
6.0,0.7099834002267127,0.3,5
6.0,0.711224455407789,0.3,5
6.0,0.7115248505592147,0.3,5
6.0,0.711389250453533,0.3,5
6.0,0.7103612266686116,0.3,5
6.0,0.7119359032147118,0.3,5
6.0,0.7125547606846486,0.3,5
6.0,0.7159893379961987,0.3,5
6.0,0.7182163122307799,0.3,5
6.0,0.7199208042022108,0.3,5
6.0,0.7240204401578475,0.3,5
6.0,0.7255548597847935,0.3,5
5.0,0.8006329735441367,0.3,5
5.0,0.8018272123952853,0.3,5
5.0,0.7890572608924397,0.3,5
4.0,0.886516697681717,0.3,4
4.0,0.8865172501102447,0.3,4
4.0,0.8807128590237856,0.3,4
4.0,0.8816014155627138,0.3,4
4.0,0.8824070255966897,0.3,4
4.0,0.8837305330674071,0.3,4
4.0,0.8861441662422374,0.3,4
4.0,0.8850537821647222,0.3,4
4.0,0.8850995260206751,0.3,4
4.0,0.8883281083353138,0.3,4
4.0,0.8896479726673316,0.3,4
